STRG.109515.1.p1	XM_040695128.2	STRG.109515
STRG.91346.1.p1	XM_040694369.2	STRG.91346
STRG.7983.1.p7	2-KAF1445500.1	STRG.7983
STRG.30474.1.p1	XM_021379937.1	STRG.30474
STRG.10117.1.p1	3-KAK4825806.1	STRG.10117
STRG.10762.1.p1	6-KAK4810514.1	STRG.10762
STRG.85020.1.p2	78-EPP37534.1	STRG.85020
STRG.85701.2.p1	14-SFW04806.1	STRG.85701
STRG.28248.1.p1	33-XM_048947294.1	STRG.28248
STRG.36364.10.p1	KAK4829724.1	STRG.36364
STRG.84083.1.p2	79-EPP37534.1	STRG.84083
STRG.80061.1.p1	XM_038769531.1	STRG.80061
STRG.95388.1.p1	3-XM_040694724.1	STRG.95388
STRG.30422.10.p1	13-XM_046923367.1	STRG.30422
STRG.79139.1.p1	15-SFW04806.1	STRG.79139
STRG.108789.1.p3	23-SGA33918.1	STRG.108789
STRG.84093.1.p2	80-EPP37534.1	STRG.84093
STRG.99013.1.p1	2-XM_021382340.1	STRG.99013
STRG.79301.1.p1	23-MCQ4179290.1	STRG.79301
STRG.19393.3.p1	9-MCQ4187459.1	STRG.19393
STRG.101412.1.p1	XM_040681957.2	STRG.101412
STRG.78288.1.p1	16-SFW04806.1	STRG.78288
STRG.108316.1.p1	24-SGA33918.1	STRG.108316
STRG.33412.1.p2	XM_048056384.1	STRG.33412
STRG.84862.1.p2	81-EPP37534.1	STRG.84862
STRG.69244.1.p1	3-KAK4832220.1	STRG.69244
STRG.10107.1.p1	7-AAC60281.1	STRG.10107
STRG.34234.6.p1	XM_040664581.1	STRG.34234
STRG.85010.1.p2	82-EPP37534.1	STRG.85010
STRG.109476.1.p3	22-XM_040695137.1	STRG.109476
STRG.80532.11.p12	KAK4821292.1	STRG.80532
STRG.84786.1.p2	83-EPP37534.1	STRG.84786
STRG.14860.1.p1	29-MCQ4078419.1	STRG.14860
STRG.84303.1.p2	84-EPP37534.1	STRG.84303
STRG.27094.40.p1	13-SGA02269.1	STRG.27094
STRG.104593.1.p4	XM_040657072.2	STRG.104593
STRG.107389.1.p4	23-XM_040695137.1	STRG.107389
STRG.21420.1.p1	3-MCQ4078410.1	STRG.21420
STRG.90485.1.p2	XM_039687151.1	STRG.90485
STRG.14784.1.p6	XM_040655964.2	STRG.14784
STRG.88980.1.p1	XM_048931523.1	STRG.88980
STRG.102854.60.p1	XM_040655078.2	STRG.102854
STRG.14225.1.p1	3-KFW72624.1	STRG.14225
STRG.88259.1.p1	4-KAK4831702.1	STRG.88259
STRG.102023.1.p1	XM_031610089.1	STRG.102023
STRG.18333.1.p1	XM_052692355.1	STRG.18333
STRG.99486.1.p1	KAK4827421.1	STRG.99486
STRG.92023.1.p1	XM_032441695.1	STRG.92023
STRG.15385.1.p1	OXB63817.1	STRG.15385
STRG.73539.1.p1	XM_048049277.1	STRG.73539
STRG.89581.1.p1	SGA34098.1	STRG.89581
STRG.45397.5.p1	12-SFW04942.1	STRG.45397
STRG.110456.1.p1	24-XM_040695137.1	STRG.110456
STRG.86072.2.p1	2-XM_048942587.1	STRG.86072
STRG.17823.13.p1	30-AAA49027.1	STRG.17823
STRG.92033.1.p1	AB023437.1	STRG.92033
STRG.9974.1.p2	11-AAR28760.1	STRG.9974
STRG.47307.2.p1	XM_046912582.1	STRG.47307
STRG.32648.11.p1	3-XM_048930376.1	STRG.32648
STRG.93337.1.p2	KAK4810855.1	STRG.93337
STRG.98306.1.p2	XM_037374902.1	STRG.98306
STRG.100389.1.p2	NXW98413.1	STRG.100389
STRG.83881.3.p1	KAK4808555.1	STRG.83881
STRG.55211.1.p3	XM_046930914.1	STRG.55211
STRG.91096.1.p2	KAI6057784.1	STRG.91096
STRG.63294.3.p1	5-EPP37096.1	STRG.63294
STRG.80031.1.p1	17-SFW04806.1	STRG.80031
STRG.66104.11.p1	KAK4824318.1	STRG.66104
STRG.57791.1.p4	XM_010572335.1	STRG.57791
STRG.2435.1.p1	13-SFW04942.1	STRG.2435
STRG.93423.1.p1	5-XM_048930342.1	STRG.93423
STRG.73711.1.p2	XM_010726980.1	STRG.73711
STRG.73476.8.p3	XM_030291479.3	STRG.73476
STRG.86873.1.p1	5-KFU97725.1	STRG.86873
STRG.104583.1.p1	3-XM_040705996.2	STRG.104583
STRG.88401.1.p1	30-MCQ4078419.1	STRG.88401
STRG.90705.1.p1	XM_061360363.1	STRG.90705
STRG.54997.1.p1	XM_040655255.1	STRG.54997
STRG.38594.1.p1	2-XM_040655204.1	STRG.38594
STRG.57156.1.p1	2-SGA34100.1	STRG.57156
STRG.21410.1.p1	32-XM_052665711.1	STRG.21410
STRG.86160.1.p1	14-SFW04942.1	STRG.86160
STRG.88970.1.p1	3-XM_040655204.1	STRG.88970
STRG.27445.14.p1	11-XM_040659592.1	STRG.27445
STRG.90399.1.p1	2-SGA32582.1	STRG.90399
STRG.54284.1.p1	24-MCQ4179290.1	STRG.54284
STRG.39550.35.p1	31-AAA49027.1	STRG.39550
STRG.47964.1.p1	XM_053944994.1	STRG.47964
STRG.111143.1.p4	18-XM_048959965.1	STRG.111143
STRG.44183.3.p1	15-SFW04942.1	STRG.44183
STRG.79119.1.p1	KAK4829134.1	STRG.79119
STRG.110436.1.p1	18-SGA02415.1	STRG.110436
STRG.90561.1.p3	XM_057401367.1	STRG.90561
STRG.41014.2.p1	14-XM_046923367.1	STRG.41014
STRG.98931.1.p1	14-SGA02269.1	STRG.98931
STRG.72071.1.p2	3-KAK4816622.1	STRG.72071
STRG.69927.1.p2	XM_032855867.1	STRG.69927
STRG.95983.1.p1	XM_049810578.1	STRG.95983
STRG.104980.4.p1	XM_032441962.1	STRG.104980
STRG.89012.1.p1	31-MCQ4078419.1	STRG.89012
STRG.2271.1.p1	4-XM_042869383.1	STRG.2271
STRG.91020.4.p1	XM_021383975.1	STRG.91020
STRG.45847.1.p1	34-XM_048947294.1	STRG.45847
STRG.109456.1.p1	15-SGA34061.1	STRG.109456
STRG.21314.1.p1	KAK4820370.1	STRG.21314
STRG.107445.1.p1	19-SGA02415.1	STRG.107445
STRG.66352.1.p1	SGA02710.1	STRG.66352
STRG.88874.1.p1	35-XM_048947294.1	STRG.88874
STRG.12030.1.p2	KAK4827014.1	STRG.12030
STRG.16775.1.p1	32-MCQ4078419.1	STRG.16775
STRG.84053.1.p1	2-XM_040655257.2	STRG.84053
STRG.72119.1.p2	4-KAK4816622.1	STRG.72119
STRG.82042.1.p1	XM_048936966.1	STRG.82042
STRG.84207.1.p2	85-EPP37534.1	STRG.84207
STRG.90389.1.p1	33-XM_052665711.1	STRG.90389
STRG.41036.1.p1	AQY16375.1	STRG.41036
STRG.86074.1.p1	15-SGA02269.1	STRG.86074
STRG.88239.1.p1	KAF1541471.1	STRG.88239
STRG.29378.1.p1	EPP37913.1	STRG.29378
STRG.102003.1.p2	SGA33791.1	STRG.102003
STRG.70491.2.p1	NXD04076.1	STRG.70491
STRG.16302.1.p1	32-AAA49027.1	STRG.16302
STRG.78248.1.p1	7-KFV05530.1	STRG.78248
STRG.70121.8.p1	XM_040538297.1	STRG.70121
STRG.107984.1.p1	25-MCQ4179290.1	STRG.107984
STRG.66891.1.p1	2-XM_046902431.1	STRG.66891
STRG.110512.1.p1	36-XM_048947294.1	STRG.110512
STRG.17462.1.p1	37-XM_048947294.1	STRG.17462
STRG.89715.1.p1	3-SGA23176.1	STRG.89715
STRG.84746.1.p2	86-EPP37534.1	STRG.84746
STRG.91341.7.p1	XM_017646372.1	STRG.91341
STRG.75616.1.p1	XM_031600880.1	STRG.75616
STRG.73289.1.p5	PKU48216.1	STRG.73289
STRG.93962.1.p1	16-SGA02269.1	STRG.93962
STRG.84832.1.p1	87-EPP37534.1	STRG.84832
STRG.9241.1.p1	38-XM_048947294.1	STRG.9241
STRG.25971.1.p1	17-SGA02269.1	STRG.25971
STRG.53710.243.p1	WP_207346501.1	STRG.53710
STRG.46372.14.p1	3-XM_040655257.2	STRG.46372
STRG.50146.1.p1	3-SGA33940.1	STRG.50146
STRG.108739.1.p1	16-SGA34061.1	STRG.108739
STRG.81884.1.p1	KAK4830752.1	STRG.81884
STRG.99446.1.p1	2-XM_021386420.1	STRG.99446
STRG.27992.1.p1	XM_031555474.1	STRG.27992
STRG.5816.1.p1	33-AAA49027.1	STRG.5816
STRG.40878.1.p1	39-XM_048947294.1	STRG.40878
STRG.78797.1.p1	18-SGA02269.1	STRG.78797
STRG.56918.18.p1	XM_030497206.1	STRG.56918
STRG.108595.1.p1	20-SGA02415.1	STRG.108595
STRG.83192.1.p1	26-MCQ4179290.1	STRG.83192
STRG.51546.1.p2	15-XM_052705648.1	STRG.51546
STRG.82715.1.p1	34-AAA49027.1	STRG.82715
STRG.78400.1.p1	40-XM_048947294.1	STRG.78400
STRG.107974.1.p1	25-SGA33918.1	STRG.107974
STRG.20148.14.p1	19-SGA02269.1	STRG.20148
STRG.91931.1.p3	XM_032445476.1	STRG.91931
STRG.59916.1.p1	XM_048957837.1	STRG.59916
STRG.84582.1.p2	88-EPP37534.1	STRG.84582
STRG.108122.1.p2	26-SGA33918.1	STRG.108122
STRG.52898.10.p1	KAF6336945.1	STRG.52898
STRG.107415.1.p1	6-SGA34039.1	STRG.107415
STRG.91142.1.p1	XM_040695369.1	STRG.91142
STRG.2319.1.p3	XM_046909528.1	STRG.2319
STRG.86120.1.p1	18-SFW04806.1	STRG.86120
STRG.75462.1.p1	XM_040692087.1	STRG.75462
STRG.109436.1.p4	27-SGA33918.1	STRG.109436
STRG.110879.1.p1	17-SGA34061.1	STRG.110879
STRG.14590.1.p1	4-XM_040655257.2	STRG.14590
STRG.55105.1.p8	PKU34571.1	STRG.55105
STRG.25172.1.p1	PKU46705.1	STRG.25172
STRG.72744.1.p1	EPP29463.1	STRG.72744
STRG.64654.3.p1	4-SGA23176.1	STRG.64654
STRG.108815.1.p1	3-SGA24805.1	STRG.108815
STRG.94553.1.p1	4-XM_048932098.1	STRG.94553
STRG.110965.1.p5	25-XM_040695137.1	STRG.110965
STRG.85423.1.p2	89-EPP37534.1	STRG.85423
STRG.31900.1.p1	2-XM_046914508.1	STRG.31900
STRG.108102.1.p2	28-SGA33918.1	STRG.108102
STRG.502.1.p1	33-MCQ4078419.1	STRG.502
STRG.105715.4.p9	XP_025978838.1	STRG.105715
STRG.75018.6.p1	8-SFW05151.1	STRG.75018
STRG.108026.1.p1	41-XM_048947294.1	STRG.108026
STRG.39878.1.p1	XM_014942942.1	STRG.39878
STRG.93932.1.p1	XM_040694738.1	STRG.93932
STRG.26802.1.p1	XM_041123000.1	STRG.26802
STRG.84802.1.p2	90-EPP37534.1	STRG.84802
STRG.91046.1.p1	XM_048933052.1	STRG.91046
STRG.12473.1.p1	KAK4810731.1	STRG.12473
STRG.112197.1.p1	15-XM_046923367.1	STRG.112197
STRG.811.5.p1	34-XM_052665711.1	STRG.811
STRG.90984.1.p1	XM_040694343.1	STRG.90984
STRG.84496.1.p1	91-EPP37534.1	STRG.84496
STRG.282.1.p2	KFM11478.1	STRG.282
STRG.66312.1.p3	XM_052688271.1	STRG.66312
STRG.48670.35.p1	19-SFW04806.1	STRG.48670
STRG.2309.1.p1	3-QKK36238.1	STRG.2309
STRG.33154.10.p2	KAK4830049.1	STRG.33154
STRG.27962.1.p3	12-AAR28760.1	STRG.27962
STRG.109272.1.p1	26-XM_040695137.1	STRG.109272
STRG.32241.10.p1	12-XM_040659592.1	STRG.32241
STRG.103486.3.p1	XM_021383719.1	STRG.103486
STRG.86034.1.p1	35-XM_052665711.1	STRG.86034
STRG.99426.1.p1	42-XM_048947294.1	STRG.99426
STRG.39705.92.p1	16-XM_052705648.1	STRG.39705
STRG.20193.1.p1	SGA02331.1	STRG.20193
STRG.85327.1.p1	92-EPP37534.1	STRG.85327
STRG.29500.1.p1	13-XM_040659592.1	STRG.29500
STRG.99196.1.p2	2-XM_040654361.1	STRG.99196
STRG.65615.1.p2	4-SFW05319.1	STRG.65615
STRG.13228.1.p1	NXJ04484.1	STRG.13228
STRG.85097.1.p1	93-EPP37534.1	STRG.85097
STRG.79001.1.p1	20-SGA02269.1	STRG.79001
STRG.54090.1.p1	SGA32965.1	STRG.54090
STRG.49781.1.p2	5-EPP28206.1	STRG.49781
STRG.100854.3.p1	XM_040694824.2	STRG.100854
STRG.54040.44.p1	SFW05626.1	STRG.54040
STRG.46747.15.p1	XM_040701942.2	STRG.46747
STRG.83172.1.p1	36-XM_052665711.1	STRG.83172
STRG.90854.3.p3	XM_042892616.1	STRG.90854
STRG.109965.1.p1	27-MCQ4179290.1	STRG.109965
STRG.20101.57.p1	AAA49022.1	STRG.20101
STRG.107954.1.p1	7-SGA34039.1	STRG.107954
STRG.109889.1.p1	8-SGA34039.1	STRG.109889
STRG.75621.7.p1	XM_059835286.1	STRG.75621
STRG.45533.3.p2	XM_046917433.1	STRG.45533
STRG.105068.1.p1	XM_040695368.1	STRG.105068
STRG.12463.1.p1	PKU31484.1	STRG.12463
STRG.107241.1.p1	43-XM_048947294.1	STRG.107241
STRG.4796.8.p1	17-XM_052705648.1	STRG.4796
STRG.77894.2.p1	4-MCQ4187465.1	STRG.77894
STRG.12617.1.p1	8-AAC60281.1	STRG.12617
STRG.109176.1.p3	19-XM_048959965.1	STRG.109176
STRG.84486.1.p2	94-EPP37534.1	STRG.84486
STRG.100185.1.p3	XM_031606452.1	STRG.100185
STRG.35628.14.p1	35-AAA49027.1	STRG.35628
STRG.102512.1.p1	XM_031610642.1	STRG.102512
STRG.29088.23.p1	2-XM_048932170.1	STRG.29088
STRG.97165.1.p1	2-EPP29463.1	STRG.97165
STRG.83941.1.p1	10-XM_025144565.3	STRG.83941
STRG.49761.1.p1	EPP37306.1	STRG.49761
STRG.1370.1.p1	36-AAA49027.1	STRG.1370
STRG.90185.1.p2	2-XM_040648673.1	STRG.90185
STRG.88035.1.p1	44-XM_048947294.1	STRG.88035
STRG.81930.1.p1	37-XM_052665711.1	STRG.81930
STRG.18746.1.p1	4-MCQ4078410.1	STRG.18746
STRG.99262.1.p1	XM_046904833.1	STRG.99262
STRG.86024.1.p1	6-KFU97725.1	STRG.86024
STRG.73811.41.p1	XM_032908626.1	STRG.73811
STRG.54148.1.p1	SGA02350.1	STRG.54148
STRG.101499.1.p1	POI19538.1	STRG.101499
STRG.83306.1.p1	5-MCQ4187465.1	STRG.83306
STRG.72930.31.p1	3-EPP29463.1	STRG.72930
STRG.107858.1.p1	9-SGA34039.1	STRG.107858
STRG.85173.1.p2	95-EPP37534.1	STRG.85173
STRG.66919.1.p1	3-XM_040650129.2	STRG.66919
STRG.84466.1.p1	96-EPP37534.1	STRG.84466
STRG.100582.4.p4	XM_030006118.2	STRG.100582
STRG.107069.1.p2	7-XM_040695796.2	STRG.107069
STRG.102186.1.p1	XM_059835226.1	STRG.102186
STRG.56556.4.p2	XM_015872774.2	STRG.56556
STRG.87070.17.p1	37-AAA49027.1	STRG.87070
STRG.91112.1.p3	XM_034073571.1	STRG.91112
STRG.50106.1.p1	38-AAA49027.1	STRG.50106
STRG.108545.1.p1	29-SGA33918.1	STRG.108545
STRG.63268.1.p1	EPP28591.1	STRG.63268
STRG.46465.6.p1	NWZ30868.1	STRG.46465
STRG.108469.1.p1	18-SGA34061.1	STRG.108469
STRG.45316.10.p2	XM_048053751.1	STRG.45316
STRG.92196.1.p1	OWK49802.1	STRG.92196
STRG.108631.1.p2	XM_046934365.1	STRG.108631
STRG.12206.13.p1	2-XM_046901945.1	STRG.12206
STRG.88111.1.p4	XM_021380528.1	STRG.88111
STRG.78757.1.p1	45-XM_048947294.1	STRG.78757
STRG.13140.1.p1	28-MCQ4179290.1	STRG.13140
STRG.107924.1.p1	XM_052700632.1	STRG.107924
STRG.80424.1.p1	20-SFW04806.1	STRG.80424
STRG.107694.1.p1	21-SGA02415.1	STRG.107694
STRG.33006.1.p1	18-XM_052705648.1	STRG.33006
STRG.4133.27.p1	KAK4815871.1	STRG.4133
STRG.85163.1.p2	97-EPP37534.1	STRG.85163
STRG.12357.1.p1	29-MCQ4179290.1	STRG.12357
STRG.97848.1.p1	2-XM_042892191.1	STRG.97848
STRG.17096.1.p1	39-AAA49027.1	STRG.17096
STRG.111536.1.p1	30-SGA33918.1	STRG.111536
STRG.84542.1.p2	98-EPP37534.1	STRG.84542
STRG.12443.1.p1	30-MCQ4179290.1	STRG.12443
STRG.9105.1.p1	7-KFU97725.1	STRG.9105
STRG.88176.10.p1	4-AAC60280.1	STRG.88176
STRG.79290.1.p1	XM_057424062.1	STRG.79290
STRG.104268.8.p1	7-SGA31375.1	STRG.104268
STRG.111392.1.p1	3-XM_040650950.1	STRG.111392
STRG.42599.1.p1	PNF23675.1	STRG.42599
STRG.29867.1.p3	XM_054821260.1	STRG.29867
STRG.25046.1.p1	16-XM_046923367.1	STRG.25046
STRG.86369.2.p1	8-KFV05530.1	STRG.86369
STRG.108381.1.p2	31-SGA33918.1	STRG.108381
STRG.26995.1.p1	17-XM_046923367.1	STRG.26995
STRG.110685.1.p2	20-XM_048959965.1	STRG.110685
STRG.86531.2.p1	10-MCQ4187459.1	STRG.86531
STRG.7725.26.p1	19-XM_052705648.1	STRG.7725
STRG.42915.1.p1	5-KAK4831702.1	STRG.42915
STRG.73854.1.p1	XM_042815287.1	STRG.73854
STRG.80973.1.p1	40-AAA49027.1	STRG.80973
STRG.89364.7.p1	14-XM_040659592.1	STRG.89364
STRG.110126.1.p2	21-XM_048959965.1	STRG.110126
STRG.77886.1.p1	11-MCQ4187459.1	STRG.77886
STRG.80414.1.p1	21-SFW04806.1	STRG.80414
STRG.93652.1.p2	3-KAK4806022.1	STRG.93652
STRG.33395.12.p3	XM_041423915.1	STRG.33395
STRG.41419.1.p1	18-XM_046923367.1	STRG.41419
STRG.107838.1.p1	27-XM_040695137.1	STRG.107838
STRG.19097.1.p1	41-AAA49027.1	STRG.19097
STRG.23804.1.p1	KAK4816510.1	STRG.23804
STRG.55256.2.p1	XM_054051968.1	STRG.55256
STRG.9987.3.p1	42-AAA49027.1	STRG.9987
STRG.45121.6.p7	5-XM_048932098.1	STRG.45121
STRG.39125.1.p2	13-AAR28760.1	STRG.39125
STRG.18552.1.p1	38-XM_052665711.1	STRG.18552
STRG.107211.1.p1	2-XM_042828189.1	STRG.107211
STRG.4126.1.p1	20-XM_052705648.1	STRG.4126
STRG.109146.1.p1	4-XM_040650950.1	STRG.109146
STRG.29705.4.p1	34-MCQ4078419.1	STRG.29705
STRG.97694.1.p2	XM_031609760.1	STRG.97694
STRG.11726.1.p1	39-XM_052665711.1	STRG.11726
STRG.90069.1.p1	4-XM_040705996.2	STRG.90069
STRG.44243.11.p1	XM_048942668.1	STRG.44243
STRG.21004.1.p1	KAK4817532.1	STRG.21004
STRG.110819.1.p2	32-SGA33918.1	STRG.110819
STRG.55266.2.p2	4-KAK4818318.1	STRG.55266
STRG.20942.1.p1	3-XM_021386420.1	STRG.20942
STRG.29857.1.p1	2-POI23159.1	STRG.29857
STRG.29220.1.p1	46-XM_048947294.1	STRG.29220
STRG.83911.1.p1	4-KFW72624.1	STRG.83911
STRG.25036.1.p1	KFQ85214.1	STRG.25036
STRG.8090.1.p1	5-KAK4810673.1	STRG.8090
STRG.11582.1.p1	12-MCQ4187459.1	STRG.11582
STRG.104187.1.p2	XM_040695262.1	STRG.104187
STRG.17855.1.p1	6-KAK4810673.1	STRG.17855
STRG.92252.1.p1	XM_057388029.1	STRG.92252
STRG.49655.1.p2	XM_052775597.1	STRG.49655
STRG.8875.11.p1	XM_048939660.1	STRG.8875
STRG.105653.1.p1	NM_205519.1	STRG.105653
STRG.40019.1.p1	5-XM_042869383.1	STRG.40019
STRG.22164.1.p8	2-XM_021382351.1	STRG.22164
STRG.39818.1.p1	SGA24804.1	STRG.39818
STRG.80250.1.p1	47-XM_048947294.1	STRG.80250
STRG.96284.1.p2	POI19635.1	STRG.96284
STRG.109685.1.p1	22-SGA02415.1	STRG.109685
STRG.10316.1.p1	2-XM_052664424.1	STRG.10316
STRG.57519.1.p1	KAK4825612.1	STRG.57519
STRG.28447.1.p1	8-XM_040695796.2	STRG.28447
STRG.107598.1.p1	23-SGA02415.1	STRG.107598
STRG.12337.1.p1	43-AAA49027.1	STRG.12337
STRG.84436.1.p2	99-EPP37534.1	STRG.84436
STRG.98.23.p1	XM_040663674.1	STRG.98
STRG.79969.12.p1	XM_021386257.1	STRG.79969
STRG.88544.1.p1	KAK4824510.1	STRG.88544
STRG.2019.1.p1	KAK4810861.1	STRG.2019
STRG.66473.2.p1	XM_040698113.2	STRG.66473
STRG.108988.1.p1	33-SGA33918.1	STRG.108988
STRG.90135.1.p1	XM_010308749.1	STRG.90135
STRG.95104.1.p1	35-MCQ4078419.1	STRG.95104
STRG.40558.1.p1	RLW12296.1	STRG.40558
STRG.79500.1.p1	XM_048929620.1	STRG.79500
STRG.95028.1.p1	XM_015301241.3	STRG.95028
STRG.87923.1.p1	40-XM_052665711.1	STRG.87923
STRG.20310.11.p2	KAK4827689.1	STRG.20310
STRG.29048.1.p1	41-XM_052665711.1	STRG.29048
STRG.110809.1.p5	22-XM_048959965.1	STRG.110809
STRG.24878.1.p1	KAK4816742.1	STRG.24878
STRG.108199.1.p3	28-XM_040695137.1	STRG.108199
STRG.829.1.p1	21-XM_052705648.1	STRG.829
STRG.80867.1.p1	KAK4810711.1	STRG.80867
STRG.54030.1.p1	42-XM_052665711.1	STRG.54030
STRG.78487.1.p1	16-SFW04942.1	STRG.78487
STRG.101535.1.p1	XM_040653852.2	STRG.101535
STRG.94253.1.p2	2-XM_040693592.1	STRG.94253
STRG.90395.83.p1	48-XM_048947294.1	STRG.90395
STRG.26262.1.p1	4-XM_021386420.1	STRG.26262
STRG.28427.1.p1	9-XM_040695796.2	STRG.28427
STRG.84899.1.p2	100-EPP37534.1	STRG.84899
STRG.58062.1.p2	RMC14121.1	STRG.58062
STRG.85047.1.p2	101-EPP37534.1	STRG.85047
STRG.15121.1.p1	XM_046906382.1	STRG.15121
STRG.97578.1.p1	2-EPP34925.1	STRG.97578
STRG.86513.1.p2	KAK4813337.1	STRG.86513
STRG.98371.1.p1	OXB51588.1	STRG.98371
STRG.109599.1.p1	31-MCQ4179290.1	STRG.109599
STRG.74994.1.p1	2-XM_040646702.1	STRG.74994
STRG.84502.1.p2	102-EPP37534.1	STRG.84502
STRG.112203.1.p6	2-XM_052681078.1	STRG.112203
STRG.93556.1.p1	3-XM_048932170.1	STRG.93556
STRG.111266.1.p1	34-SGA33918.1	STRG.111266
STRG.32039.1.p1	44-AAA49027.1	STRG.32039
STRG.70327.1.p2	2-POI18523.1	STRG.70327
STRG.23554.1.p1	6-XM_048930342.1	STRG.23554
STRG.8773.1.p1	15-XM_040659592.1	STRG.8773
STRG.79931.2.p1	SFW04802.1	STRG.79931
STRG.75330.38.p1	2-XM_040694451.1	STRG.75330
STRG.12712.5.p1	PKU43598.1	STRG.12712
STRG.107029.1.p1	5-XM_021386420.1	STRG.107029
STRG.86974.2.p1	KFW63644.1	STRG.86974
STRG.43352.1.p1	36-MCQ4078419.1	STRG.43352
STRG.49199.3.p7	49-XM_048947294.1	STRG.49199
STRG.108265.1.p1	19-SGA34061.1	STRG.108265
STRG.81446.2.p1	45-AAA49027.1	STRG.81446
STRG.39524.3.p1	2-XM_048930377.1	STRG.39524
STRG.87609.4.p1	4-SGA33940.1	STRG.87609
STRG.110645.1.p9	23-XM_048959965.1	STRG.110645
STRG.110569.1.p4	35-SGA33918.1	STRG.110569
STRG.63150.1.p1	KAK4827407.1	STRG.63150
STRG.85027.1.p1	103-EPP37534.1	STRG.85027
STRG.60346.1.p3	XM_015876411.2	STRG.60346
STRG.103536.1.p1	XM_054804805.1	STRG.103536
STRG.84965.1.p2	104-EPP37534.1	STRG.84965
STRG.7363.1.p1	POI32129.1	STRG.7363
STRG.5693.11.p1	46-AAA49027.1	STRG.5693
STRG.101001.7.p1	4P48_A	STRG.101001
STRG.905.1.p3	47-AAA49027.1	STRG.905
STRG.19057.1.p1	XM_042829387.1	STRG.19057
STRG.19731.21.p1	KAK4831309.1	STRG.19731
STRG.82165.1.p1	2-WGM49017.1	STRG.82165
STRG.111969.1.p2	24-XM_048959965.1	STRG.111969
STRG.80154.1.p1	SGA02499.1	STRG.80154
STRG.109589.1.p1	29-XM_040695137.1	STRG.109589
STRG.82089.1.p2	48-AAA49027.1	STRG.82089
STRG.74984.1.p3	8-SGA31375.1	STRG.74984
STRG.70317.1.p2	2-XM_048967322.1	STRG.70317
STRG.25479.1.p1	3-KAK4820465.1	STRG.25479
STRG.66906.6.p1	3-XM_046902431.1	STRG.66906
STRG.94936.1.p1	XM_046937579.1	STRG.94936
STRG.105187.3.p1	XM_054052489.1	STRG.105187
STRG.75024.2.p1	3-POI19488.1	STRG.75024
STRG.78457.1.p1	11-XM_025144565.3	STRG.78457
STRG.110559.1.p1	25-XM_048959965.1	STRG.110559
STRG.98968.1.p3	XM_040654014.1	STRG.98968
STRG.80174.22.p1	XM_050913763.1	STRG.80174
STRG.53786.1.p1	17-SFW04942.1	STRG.53786
STRG.78467.1.p1	2-SFW04802.1	STRG.78467
STRG.2614.1.p1	2-NM_204573.1	STRG.2614
STRG.100944.18.p1	BDI00299.1	STRG.100944
STRG.109731.1.p1	2-XM_046934365.1	STRG.109731
STRG.80058.1.p1	49-AAA49027.1	STRG.80058
STRG.80585.2.p3	2-XM_040656212.2	STRG.80585
STRG.69950.2.p1	XM_054804568.1	STRG.69950
STRG.86976.1.p1	37-MCQ4078419.1	STRG.86976
STRG.107720.1.p1	10-SGA34039.1	STRG.107720
STRG.39558.1.p1	21-SGA02269.1	STRG.39558
STRG.107490.1.p2	36-SGA33918.1	STRG.107490
STRG.102675.1.p1	XM_021383147.1	STRG.102675
STRG.75036.1.p2	3-XM_040646702.1	STRG.75036
STRG.109579.1.p1	32-MCQ4179290.1	STRG.109579
STRG.8827.50.p1	NWH77573.1	STRG.8827
STRG.16974.1.p2	KAK4817104.1	STRG.16974
STRG.36916.1.p4	38-MCQ4078419.1	STRG.36916
STRG.90740.1.p1	XM_049792796.1	STRG.90740
STRG.86187.1.p1	XM_046905157.1	STRG.86187
STRG.72505.16.p1	9-SGA31375.1	STRG.72505
STRG.70307.1.p1	XM_046931727.1	STRG.70307
STRG.70077.1.p1	NM_001397357.1	STRG.70077
STRG.56484.1.p1	22-XM_052705648.1	STRG.56484
STRG.92116.1.p1	KAF3861005.1	STRG.92116
STRG.62668.4.p2	XM_015877444.2	STRG.62668
STRG.67865.1.p2	3-XM_019622144.2	STRG.67865
STRG.51755.1.p1	50-XM_048947294.1	STRG.51755
STRG.108890.1.p1	11-SGA34039.1	STRG.108890
STRG.45311.2.p1	XM_048943625.1	STRG.45311
STRG.94137.1.p1	XM_040693551.1	STRG.94137
STRG.84859.1.p2	105-EPP37534.1	STRG.84859
STRG.42395.1.p1	14-AAR28760.1	STRG.42395
STRG.77562.3.p1	XM_040693707.2	STRG.77562
STRG.110481.1.p1	30-XM_040695137.1	STRG.110481
STRG.75499.1.p3	2-POI28166.1	STRG.75499
STRG.19946.19.p1	3-XM_046901945.1	STRG.19946
STRG.5246.1.p2	XM_055711024.1	STRG.5246
STRG.97991.10.p3	TNN38301.1	STRG.97991
STRG.69173.1.p2	6-EPP29996.1	STRG.69173
STRG.86167.1.p1	5-KFW72624.1	STRG.86167
STRG.51052.1.p2	KAJ7414840.1	STRG.51052
STRG.13445.2.p1	KAK4820918.1	STRG.13445
STRG.64444.1.p1	XM_048966445.1	STRG.64444
STRG.25525.1.p2	13-MCQ4179288.1	STRG.25525
STRG.100272.4.p1	KAF3847383.1	STRG.100272
STRG.48722.2.p1	XM_046905135.1	STRG.48722
